level,player_count
1.1,2009
1.2,1979
1.3,1955
2.1,1738
2.2,1605
2.3,1450
3.1,1136
3.2,1109
3.3,1082
4.1,954
4.2,942
4.3,892
5.1,721
5.2,712
5.3,687
6.1,640
6.2,633
6.3,600
6.4,406
6.5,394
7.1,377
7.2,364
7.3,300
8.1,181
9.1,179
10.1,178
