cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	1	B44D29D2-EDFE-7769-E7EC-642A687FCF04	0	1584251776	{"level":1,"stage":1,"knivesThrown":4,"time":8.6833333333333,"levelTime":8.6833333333333,"levelKnivesThrown":4,"throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	2	CAB8D83D-6C0A-4192-8584-E9D1AAC7E182	1	1584251776	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	2	CAB8D83D-6C0A-4192-8584-E9D1AAC7E182	0	1584251780	{"level":1,"stage":2,"knivesThrown":14,"time":12.683333333334,"levelTime":4,"levelKnivesThrown":10,"throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	3	48051672-5106-C020-AE86-E416ECE92F1B	1	1584251780	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"0","throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	1	7CC663E5-2A6F-2606-7AC6-0FF87766E70A	1	1584251783	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"1","throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	1	7CC663E5-2A6F-2606-7AC6-0FF87766E70A	0	1584251785	{"level":1,"stage":1,"knivesThrown":3,"time":2.2333333333333,"levelTime":2.2333333333333,"levelKnivesThrown":3,"throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	2	0AB53DD7-A155-3EF4-7556-1B18D63BF6B2	1	1584251785	{"level":1,"stage":2,"hasCompleted":false,"replayCount":"1","throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	2	0AB53DD7-A155-3EF4-7556-1B18D63BF6B2	0	1584251789	{"level":1,"stage":2,"knivesThrown":9,"time":6.2833333333333,"levelTime":4.05,"levelKnivesThrown":6,"throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	3	8C48C5CB-6CCE-5D32-B35B-E1247E58FC48	1	1584251789	{"level":1,"stage":3,"hasCompleted":false,"replayCount":"1","throwerSpeed":225}
5	4D94AC00-46BC-AD1A-112F-ECC69B720AE0	1C112213-AB03-AF88-C434-D4D2986F33D4	1	1AAA89D4-BC86-6802-720C-E85498B8C93B	1	1584251794	{"level":1,"stage":1,"hasCompleted":false,"replayCount":"2","throwerSpeed":225}
