level,time_spent
1-1,3.85
1-1,10.533333333333
1-1,3.9333333333333
1-1,12.95
1-1,3.8833333333333
1-1,3.9166666666667
1-1,10.333333333333
1-1,3.3333333333333
1-1,3.9166666666667
1-1,3.9166666666667
1-1,6.5666666666666
1-1,3.3666666666667
1-1,2.2166666666667
1-1,2.25
1-1,2.2333333333333
1-1,2.2666666666667
1-1,2.3
1-1,3.8166666666667
1-1,7.0833333333333
1-1,2.3666666666667
1-1,5.5
1-1,5.4166666666667
1-1,2.3
1-1,7.0166666666666
1-1,3.8166666666667
1-1,4.95
1-1,8.0666666666666
1-1,7.6166666666666
1-1,7.0833333333333
1-1,6.4666666666666
1-1,4.9333333333333
1-1,22.516666666667
1-1,18.766666666667
1-1,2.3666666666667
1-1,12.95
1-1,2.7833333333333
1-1,5.5
1-1,7.0666666666666
1-1,4.9333333333333
1-1,2.3666666666667
1-1,4.9
1-1,3.9166666666667
1-1,15.583333333334
1-1,2.3666666666667
1-1,5.45
1-1,9.2166666666667
1-1,4.3666666666667
1-1,3.9166666666667
1-1,23.683333333333
1-1,5.5166666666667
1-1,3.8833333333333
1-1,7.0833333333333
1-1,9.2
1-1,2.2333333333333
1-1,2.2666666666667
1-1,4.8833333333333
1-1,5.5333333333333
1-1,3.3666666666667
1-1,11.383333333333
1-1,6.4833333333333
1-1,5.95
1-1,6.5166666666666
1-1,4.35
1-1,21.966666666667
1-1,9.2
1-1,8.1833333333333
1-1,15.516666666667
1-1,10.283333333333
1-1,2.2833333333333
1-1,2.2833333333333
1-1,10.283333333333
1-1,2.2666666666667
1-1,14.066666666667
1-1,6.4833333333333
1-1,8.7
1-1,17.216666666667
1-1,2.3
1-1,9.2333333333334
1-1,2.3333333333333
1-1,4.3833333333333
1-1,2.85
1-1,4.9333333333333
1-1,3.8166666666667
1-1,9.7333333333334
1-1,7.0666666666666
1-1,3.95
1-1,3.95
1-1,5.5166666666667
1-1,10.283333333333
1-1,5.5333333333333
1-1,9.1166666666667
1-1,7.6166666666666
1-2,9.4166666666667
1-2,7.9333333333333
1-2,7.95
1-2,26.333333333333
1-2,7.9833333333333
1-2,8.0166666666666
1-2,14.566666666667
1-2,5.4333333333333
1-2,4.2333333333333
1-2,6.25
1-2,4.2
1-2,4.2833333333333
1-2,4.35
1-2,5.8333333333333
1-2,11.2
1-2,7.95
1-2,14.183333333334
1-2,7.8666666666666
1-2,12.916666666667
1-2,18.483333333334
1-2,70.849999999997
1-2,16.333333333334
1-2,12.433333333334
1-2,10.566666666667
1-2,35.399999999999
1-2,31.549999999999
1-2,11.516666666667
1-2,24.916666666667
1-2,6.8833333333333
1-2,10.716666666667
1-2,14.366666666667
1-2,14.1
1-2,11.516666666667
1-2,8.9333333333334
1-2,9.5666666666667
