cid	uid	sessionid	log_ts
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	458B78DD-CA4C-B861-AE33-BF98AC691FBC	1582168586
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	DA251134-8CEE-6E51-A263-506E7C00036E	1582169579
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	D66E2E38-2D96-DBAB-BB7F-98D946E1406F	1582169646
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	90DB9E0E-1580-07EB-149F-E402CDC057AE	1582169661
1	37B36CA2-A426-9D26-566A-2E7D8789A936	D41617AA-263E-ED54-CC02-097A8DC9552A	1582169802
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	80F1CF8F-AB0E-1202-54EB-22100CF4B973	1582170486
1	37B36CA2-A426-9D26-566A-2E7D8789A936	16CEC85B-8419-D0A7-FCD8-F96912AD747F	1582170530
1	37B36CA2-A426-9D26-566A-2E7D8789A936	C4B158E8-0356-FD4C-97D1-50D46379400F	1582170788
1	37B36CA2-A426-9D26-566A-2E7D8789A936	441DB912-1668-C6F9-3081-2036AFBABCC7	1582170850
1	37B36CA2-A426-9D26-566A-2E7D8789A936	FA7B5053-BD4C-A12F-90BB-204AB87135A6	1582170875
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	29CA5EE2-F021-017F-B127-1E1D89D64AB5	1582172292
1	37B36CA2-A426-9D26-566A-2E7D8789A936	B64AF967-A5DB-7E6E-392A-41E5CE4068FF	1582172430
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	FACEBB66-B622-0A01-D95D-22F49BA6F33D	1582172469
1	37B36CA2-A426-9D26-566A-2E7D8789A936	CE6FFE6C-F26C-9DB1-334A-ADE1703BD144	1582172485
1	37B36CA2-A426-9D26-566A-2E7D8789A936	A0E9AEAF-E34F-26E6-AC59-DB715D8A1948	1582172527
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	D853C07A-77D1-E95C-1AAC-8041A11EC6BA	1582172595
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	668156BD-36B1-8896-7022-245CBA322584	1582173228
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	1ED6BE1B-81AF-9939-FE79-A91C4E69A4B5	1582173248
1	C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386	31E9E235-2EFE-FA5D-38CF-59145B842498	1582173274
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	54EF00AA-E442-81B5-3A9E-789D8A806074	1582173334
1	C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386	C21405F2-7FA2-52B2-1E6A-90399437F9F6	1582173380
1	8A8AFE94-2A64-F43C-D14F-DAC3CD70ABF4	6E74C628-2002-79D7-B3F2-FDBB8FD4202F	1582173499
1	B954BD1D-35FC-7BDA-31E0-6207487B0DC3	062D06B3-EDF4-DCFE-4A9F-E6598DEFBA48	1582173552
1	B954BD1D-35FC-7BDA-31E0-6207487B0DC3	36432CC1-CFFC-6E1E-A4EA-5D4FED68A84D	1582173581
1	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	A67B2297-3DB4-D79A-6B30-E97F0B8149DC	1582174173
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	E40A0CAF-73AD-A271-9ABA-525A18D393C3	1582174196
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	FF7AA13A-DE8B-75DB-1E6F-12072E8A3BBD	1582174303
1	BD4B7B24-96F5-6060-37B3-1520D33928AF	6CC43E8A-90AF-DDBB-AA4A-7DBD7A1296A1	1582176194
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	A4D40C98-D00D-D60D-1738-9732BAA14AAF	1582177279
1	99B670DB-582E-5FE1-855D-D7B0D5FE6170	F88A89F5-5456-5640-5A7F-72D0EF144CC4	1582183409
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	6D76FAB6-C4C5-4B42-C6DC-E494B10DE8A7	1582184046
1	359F5B11-2044-5A5D-168B-AC11DC07F056	F60E8837-D1A0-6FA2-4F6D-223C89CF5299	1582184055
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	FEE7924E-508A-D7C8-9A78-CF83A3F4B146	1582184115
1	359F5B11-2044-5A5D-168B-AC11DC07F056	10ED13C5-FDFD-541A-F2B5-B0211DB9B7F2	1582184184
1	359F5B11-2044-5A5D-168B-AC11DC07F056	D6E50AC8-0B20-7570-480A-EC0037B7ACCE	1582184237
1	359F5B11-2044-5A5D-168B-AC11DC07F056	54238C26-4E29-89DA-A0BA-4CC7F5A15657	1582184248
1	359F5B11-2044-5A5D-168B-AC11DC07F056	D3FE6D3E-F2F3-D1B4-23A6-4D73FB459FEE	1582184294
1	359F5B11-2044-5A5D-168B-AC11DC07F056	3E920A5F-6DB3-8971-013E-D6DDB8320DC4	1582184327
1	359F5B11-2044-5A5D-168B-AC11DC07F056	FEE4575E-FCF6-9DD3-4F3A-BBA6C3FD25DC	1582184345
1	359F5B11-2044-5A5D-168B-AC11DC07F056	E1EF1278-3D55-537E-1526-E1E2ECE4C4D7	1582184353
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	9176D8E0-C9E5-06BC-A576-38C64E13F1F5	1582184412
1	B5A0AD08-9221-94F0-52CC-1D85DD84D881	547CEECF-FA33-C16E-7269-AE70AD3AEE59	1582184427
1	B5A0AD08-9221-94F0-52CC-1D85DD84D881	8B57753E-7A63-467F-DBC2-EC3410328D80	1582184438
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	FAC756AE-956D-D195-CAD1-09CF146A03C4	1582184634
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	AD756074-87BA-0F25-1D26-997AD2481B6C	1582185075
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	1730002A-6DB6-C82A-9940-E84076DA3F94	1582185697
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	DC07AB6E-001A-9E22-A7D3-B399D902E224	1582185798
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	CC722B82-B6AD-F61B-184F-990B7BD55DB1	1582186098
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	9B96835C-B7FD-59CC-F557-95C9D65F219C	1582186303
1	9F08D149-4DEB-1A0E-626B-1E4F57FDC006	925B009C-0E08-BC20-1D1B-577B48ACD698	1582186412
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	7D3864FD-4321-3F0D-9AE8-8C1C366C1190	1582186416
1	606B5333-B5F7-A962-C964-E8EE8B628A95	B67BF0F9-59B7-7A87-71C8-AB2A9A205734	1582186433
1	9F08D149-4DEB-1A0E-626B-1E4F57FDC006	339E9B0F-4D59-BCA9-A1C2-DAAA2F6194E8	1582186509
1	75452F6E-B982-2B3D-9212-DBCB5DD6BE44	AF9FF84E-E848-1F1B-5FD1-EE781A8DD8C4	1582186512
1	4A24CB3D-3C39-7217-7BDD-B0AE1BBA6616	EB1D686D-A16F-973D-38F2-0847C89F44B9	1582186596
1	606B5333-B5F7-A962-C964-E8EE8B628A95	FD36C65F-4FF3-B39D-F71A-0518C2F5BC0B	1582186597
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	9B4E11DB-F17C-9F6E-22AC-E3407B0EE8F1	1582186602
1	BD895925-265A-B539-D360-5D9ECA1B29DC	B580EEB6-0356-C593-9B2E-1A441085E15D	1582186607
1	BD895925-265A-B539-D360-5D9ECA1B29DC	3F26B2AA-FFA5-4DCD-5568-E5FE68C6492B	1582186616
1	9F08D149-4DEB-1A0E-626B-1E4F57FDC006	0EE2BA4C-E80B-17CE-8FE0-B5EA66A8AE05	1582186638
1	E1432C65-F164-F1C1-A098-6FE77B938428	64873579-B38D-5777-A7BB-816DA90A2D1A	1582186641
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	2CEF44CE-F98B-8322-3F39-452FAF50696A	1582186713
1	9F08D149-4DEB-1A0E-626B-1E4F57FDC006	3EB222EB-3A93-9EBA-EB94-989D58644850	1582186840
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	32D7A946-9BD2-6036-B261-77A94A4902AD	1582186868
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	1E3CE4AD-B108-F252-F2EB-19D2E2DAE302	1582186987
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	FE29419F-7484-642A-DB5F-C6EA3B2D85FC	1582187081
1	E1432C65-F164-F1C1-A098-6FE77B938428	A5A799AD-96C8-D83E-035E-205683F09AB7	1582187185
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	E7575FF5-BBE5-173A-8103-FE503E629792	1582187198
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	90BC2FC8-F61E-C0BD-6949-8EC8C2D8AB60	1582187411
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	F6866AAE-E54C-482D-F1A0-3A6BD02A9A28	1582187528
1	010FBF95-A4F1-CBC8-B7AA-61CF330DFA3C	E42D0DB0-479D-247E-04EA-A00484FD8100	1582187758
1	620FAE3A-B5A9-BB27-714F-9AF00760A6C7	CF985F9C-1308-67FA-5B70-7F664EF06ADE	1582188290
1	620FAE3A-B5A9-BB27-714F-9AF00760A6C7	A26FE150-A5EA-FC60-DC90-EF90567F17F3	1582188329
1	620FAE3A-B5A9-BB27-714F-9AF00760A6C7	A3580606-2C44-EC54-A856-295131C71338	1582188361
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	47888B19-D4D9-C1E9-EE8A-903223048C4F	1582197249
1	AE0B0284-1108-494F-2248-AFFB4D746393	B278D32A-2A95-55D8-9A8A-B1AAE07ADF01	1582201204
1	13A30155-FEEE-3EA3-06EB-8435BE8D0885	2259465F-9947-8BAE-2A8F-EC841678F25B	1582214301
1	04E44F57-7820-516A-49A8-983CBDCDBFCA	AA129E4F-D0BF-2BB2-C1AA-099CC602D777	1582215750
1	74404E02-B6B1-16DF-2E45-CA54B62D1313	8F48DAA1-5383-EA04-34B4-176D96B03406	1582218421
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	0BE99B01-9C2F-C11F-63C2-D84D99603D51	1582226714
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	3CF4FCE5-5573-BCBA-A00D-643DB49DB0E9	1582226720
1	DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1	096C0876-260C-BAD8-F8B0-464371861754	1582231623
1	21290B15-2374-854B-C6C2-396870F805CD	5E2E834D-D6E6-9E42-2778-A719A7BC8383	1582231706
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	6DC3DAC0-06AF-BAD5-66DF-0053727E58B2	1582231858
1	AA1B34E2-9619-6100-F4D0-A759646218A1	B2FD2678-46E7-5FC5-889B-CA944635C787	1582318898
1	AA1B34E2-9619-6100-F4D0-A759646218A1	B1B9B3EC-813D-0B84-C8E7-6D06E3600464	1582319100
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	961D8E87-EF7B-D83C-FF70-D15F744B1790	1582503657
1	16EF1D82-445B-EBBE-E67D-9131319E366B	549C41B2-19C6-E36E-75C9-41244F359C32	1582503738
1	16EF1D82-445B-EBBE-E67D-9131319E366B	758F0289-CD15-61B1-F23F-F7303D68B26D	1582503782
1	16EF1D82-445B-EBBE-E67D-9131319E366B	7EDEBD0A-ABDD-6F31-B42E-239FA6850AD2	1582509172
1	16EF1D82-445B-EBBE-E67D-9131319E366B	76D08C4F-668E-500A-668E-D8C21670356A	1582509243
1	16EF1D82-445B-EBBE-E67D-9131319E366B	6932F531-2109-B54A-0F91-1254B9732416	1582509306
1	16EF1D82-445B-EBBE-E67D-9131319E366B	1E030133-FC4A-8CDD-B9AA-44653243BBF7	1582509650
1	F591BE87-1B2E-D2C0-7000-68346C0B8F76	BAB9A4A1-B625-1F1F-2031-FB5127037E23	1582509678
