cid	uid	sessionid	qid	dqid	q_s_id	log_q_ts	q_detail
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	4	616CB9A7-C2DC-ED9F-40A6-464D69051537	1	1583023212	{"level":1,"stage":1}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	4	616CB9A7-C2DC-ED9F-40A6-464D69051537	0	1583023217	{"knivesThrown":4,"time":3.85}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	5	44D9DCDA-6958-8578-99D2-18DA94D83F55	1	1583023217	{"level":1,"stage":2}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	5	44D9DCDA-6958-8578-99D2-18DA94D83F55	0	1583023222	{"knivesThrown":9,"time":9.4166666666667}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	6	6EE30C52-0654-8A00-BB7B-90A294278233	1	1583023222	{"level":1,"stage":3}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	6	6EE30C52-0654-8A00-BB7B-90A294278233	0	1583023228	{"knivesThrown":15,"time":15.033333333334}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	7	64B1BAF6-4AB8-9D11-E6E6-201D818419DD	1	1583023229	{"level":2,"stage":1}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	8	5DC5F33E-1D12-1B50-A6C4-B8F1F36FD803	1	1583023240	{"level":2,"stage":2}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	7	64B1BAF6-4AB8-9D11-E6E6-201D818419DD	0	1583023240	{"knivesThrown":7,"time":10.566666666667}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	8	5DC5F33E-1D12-1B50-A6C4-B8F1F36FD803	0	1583023258	{"knivesThrown":17,"time":29.133333333333}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	9	50C8CEEC-A908-87EA-EB97-416D3A4D22DF	1	1583023258	{"level":2,"stage":3}
2	8CB0F1EA-28BA-40C8-9E3B-084C897E0ADF	92D576B1-3D97-9B8D-AFB8-1C6B63142A55	9	50C8CEEC-A908-87EA-EB97-416D3A4D22DF	0	1583023269	{"knivesThrown":23,"time":39.766666666666}
