level,player_count
1.1,244
1.2,242
1.3,238
2.1,214
2.2,197
2.3,169
3.1,138
3.2,134
3.3,130
4.1,121
4.2,119
4.3,112
5.1,88
5.2,87
5.3,85
6.1,75
6.2,75
6.3,72
6.4,63
6.5,61
7.1,57
7.2,56
7.3,42
8.1,30
9.1,30
10.1,30
