cid,uid,sessionid,qid,dqid,q_s_id,log_q_ts,q_detail
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,8C3EB010-8C7B-B0E7-F022-1AAC3C06F794,1,1582173387,"{""level"":0,""stage"":0}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,8C3EB010-8C7B-B0E7-F022-1AAC3C06F794,0,1582173402,"{""knivesThrown"":13,""time"":14.983333333334}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,64C1EF95-8B8D-4588-BA60-FC44A72307EB,1,1582173402,"{""level"":0,""stage"":1}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,64C1EF95-8B8D-4588-BA60-FC44A72307EB,0,1582173411,"{""knivesThrown"":21,""time"":24.533333333333}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,A0166345-8A08-EECC-9EB5-C4128439DBA8,1,1582173411,"{""level"":0,""stage"":2}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,0,A0166345-8A08-EECC-9EB5-C4128439DBA8,0,1582173425,"{""knivesThrown"":36,""time"":38.149999999999}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1,AE9CC35B-FD13-C541-B9B0-C997EE3E6BF8,1,1582173427,"{""level"":1,""stage"":0}"
1,C8E0CEB7-5737-527A-BEBA-E4C1EE3EE386,C21405F2-7FA2-52B2-1E6A-90399437F9F6,1,AE9CC35B-FD13-C541-B9B0-C997EE3E6BF8,0,1582173429,"{""knivesThrown"":2,""time"":1.8333333333333}"
1,8A8AFE94-2A64-F43C-D14F-DAC3CD70ABF4,6E74C628-2002-79D7-B3F2-FDBB8FD4202F,0,21F1991F-7B5D-B813-E4B1-AE9858FF0577,1,1582173507,"{""level"":0,""stage"":0}"
1,B954BD1D-35FC-7BDA-31E0-6207487B0DC3,062D06B3-EDF4-DCFE-4A9F-E6598DEFBA48,0,AFAF91F9-A141-93DA-75BE-866A4E3807B7,1,1582173559,"{""level"":0,""stage"":0}"
1,B954BD1D-35FC-7BDA-31E0-6207487B0DC3,36432CC1-CFFC-6E1E-A4EA-5D4FED68A84D,0,CE6D3F80-BCB6-2615-3CFF-68B7D3A8A6C6,1,1582173589,"{""level"":0,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,34D03948-B170-DDEF-0B99-3FE3376FA3AB,1,1582174206,"{""level"":0,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,648B6CD3-CBBE-64CE-848A-F750FF738B25,1,1582174212,"{""level"":0,""stage"":1}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,34D03948-B170-DDEF-0B99-3FE3376FA3AB,0,1582174212,"{""knivesThrown"":6,""time"":6}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,DB90E2B0-6BE6-0DF5-2EB8-A3E18F744433,1,1582174219,"{""level"":0,""stage"":2}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,648B6CD3-CBBE-64CE-848A-F750FF738B25,0,1582174219,"{""knivesThrown"":14,""time"":11.95}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,0,DB90E2B0-6BE6-0DF5-2EB8-A3E18F744433,0,1582174222,"{""knivesThrown"":19,""time"":16.133333333334}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1,74D3AEF1-E29C-EA61-CECE-AA937A1C53C9,1,1582174225,"{""level"":1,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,1,74D3AEF1-E29C-EA61-CECE-AA937A1C53C9,0,1582174226,"{""knivesThrown"":1,""time"":1.3833333333333}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,2,8093F496-9A6A-9B32-0086-53FC8BF135AF,1,1582174227,"{""level"":2,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,2,8093F496-9A6A-9B32-0086-53FC8BF135AF,0,1582174228,"{""knivesThrown"":1,""time"":1.4333333333333}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,3,DC939A93-186A-5376-FC05-939DBA2DE763,1,1582174229,"{""level"":3,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,3,DC939A93-186A-5376-FC05-939DBA2DE763,0,1582174231,"{""knivesThrown"":2,""time"":1.9666666666667}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,4,5D41645B-A1BE-B150-B38E-4EBB0FC6C967,1,1582174231,"{""level"":4,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,4,5D41645B-A1BE-B150-B38E-4EBB0FC6C967,0,1582174232,"{""knivesThrown"":1,""time"":1.4}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,5,0CE4F7FC-96FE-701B-95E5-D755FB452122,1,1582174233,"{""level"":5,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,5,0CE4F7FC-96FE-701B-95E5-D755FB452122,0,1582174234,"{""knivesThrown"":1,""time"":1.45}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,6,AAE74241-CA63-7E12-8D4A-39692FAA5110,1,1582174235,"{""level"":6,""stage"":0}"
1,F591BE87-1B2E-D2C0-7000-68346C0B8F76,E40A0CAF-73AD-A271-9ABA-525A18D393C3,6,1F08DBA3-9B1A-D676-5024-6B90BAE25A2E,1,1582174236,"{""level"":6,""stage"":0}"
1,DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1,FF7AA13A-DE8B-75DB-1E6F-12072E8A3BBD,0,4CD636B4-37B5-A110-0A1D-0DD9885EA46C,1,1582174338,"{""level"":0,""stage"":0}"
1,DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1,FF7AA13A-DE8B-75DB-1E6F-12072E8A3BBD,0,E41CEE47-7D14-0863-1525-F70848B23951,1,1582174343,"{""level"":0,""stage"":1}"
1,DEBEBA16-9D04-1D4A-074B-F6EDE48C39E1,FF7AA13A-DE8B-75DB-1E6F-12072E8A3BBD,0,4CD636B4-37B5-A110-0A1D-0DD9885EA46C,0,1582174343,"{""knivesThrown"":4,""time"":4.9666666666667}"
1,BD4B7B24-96F5-6060-37B3-1520D33928AF,6CC43E8A-90AF-DDBB-AA4A-7DBD7A1296A1,0,8CC22055-2C0E-6D08-7FF7-2A661F6854D5,1,1582176235,"{""level"":0,""stage"":0}"
1,BD4B7B24-96F5-6060-37B3-1520D33928AF,6CC43E8A-90AF-DDBB-AA4A-7DBD7A1296A1,0,8CC22055-2C0E-6D08-7FF7-2A661F6854D5,0,1582176271,"{""knivesThrown"":18,""time"":35.533333333333}"
