level,player_count
1-1,320
1-2,315
1-3,304
10-1,268
2-1,243
2-2,219
2-3,189
3-1,140
3-2,137
3-3,132
4-1,114
4-2,110
4-3,103
5-1,98
5-2,95
5-3,92
6-1,84
6-2,82
6-3,77
6-4,47
6-5,46
7-1,44
7-2,42
7-3,32
completed,16
