level,player_count
1.1,320
1.2,315
1.3,304
2.1,268
2.2,244
2.3,214
3.1,165
3.2,162
3.3,157
4.1,139
4.2,135
4.3,128
5.1,107
5.2,104
5.3,101
6.1,93
6.2,91
6.3,86
6.4,56
6.5,55
7.1,53
7.2,51
7.3,41
8.1,25
9.1,25
10.1,25
